latitude,longitude,Year,TMm
-42.50,147.25,1920,9.88
-42.50,147.25,1930, 10.02
-42.50,147.25,1940,9.85
-42.50,147.25,1950,9.75
-42.50,147.25,1960,9.77
-42.50,147.25,1970,9.55
-42.50,147.25,1980, 10.38
-42.50,147.25,1990, 10.15
-42.50,147.25,2000, 10.61
-42.50,147.25,2010, 10.34
-42.50,147.25,2020, 10.17
-42.50,147.50,1910,9.29
-42.50,147.50,1920,9.08
-42.50,147.50,1930,9.22
-42.50,147.50,1940,9.08
-42.50,147.50,1950,8.94
-42.50,147.50,1960,8.94
-42.50,147.50,1970,8.75
-42.50,147.50,1980,9.59
-42.50,147.50,1990,9.37
-42.50,147.50,2000,9.81
-42.50,147.50,2010,9.57
-42.50,147.50,2020,9.45
-42.50,147.75,1910, 11.15
-42.50,147.75,1920, 10.93
-42.50,147.75,1930, 11.06
-42.50,147.75,1940, 10.95
-42.50,147.75,1950, 10.78
-42.50,147.75,1960, 10.75
-42.50,147.75,1970, 10.61
-42.50,147.75,1980, 11.45
-42.50,147.75,1990, 11.23
-42.50,147.75,2000, 11.67
-42.50,147.75,2010, 11.48
-42.50,147.75,2020, 11.37
-42.50,148.00,1910, 12.84
-42.50,148.00,1920, 12.61
-42.50,148.00,1930, 12.75
-42.50,148.00,1940, 12.67
-42.50,148.00,1950, 12.46
-42.50,148.00,1960, 12.40
-42.50,148.00,1970, 12.31
-42.50,148.00,1980, 13.15
-42.50,148.00,1990, 12.93
-42.50,148.00,2000, 13.39
-42.50,148.00,2010, 13.23
-42.50,148.00,2020, 13.15
-42.25,145.25,1910, 12.16
-42.25,145.25,1920, 12.08
-42.25,145.25,1930, 12.08
-42.25,145.25,1940, 11.84
-42.25,145.25,1950, 12.01
-42.25,145.25,1960, 12.03
-42.25,145.25,1970, 11.94
-42.25,145.25,1980, 12.74
-42.25,145.25,1990, 12.60
-42.25,145.25,2000, 12.99
-42.25,145.25,2010, 12.62
-42.25,145.25,2020, 12.59
-42.25,145.50,1910, 10.09
-42.25,145.50,1920, 10.02
-42.25,145.50,1930, 10.02
-42.25,145.50,1940,9.79
-42.25,145.50,1950, 10.00
-42.25,145.50,1960, 10.02
-42.25,145.50,1970,9.89
-42.25,145.50,1980, 10.68
-42.25,145.50,1990, 10.50
-42.25,145.50,2000, 10.93
-42.25,145.50,2010, 10.58
-42.25,145.50,2020, 10.51
-42.25,145.75,1910,9.66
-42.25,145.75,1920,9.59
-42.25,145.75,1930,9.60
-42.25,145.75,1940,9.38
-42.25,145.75,1950,9.59
-42.25,145.75,1960,9.62
-42.25,145.75,1970,9.44
-42.25,145.75,1980, 10.25
-42.25,145.75,1990, 10.03
-42.25,145.75,2000, 10.48
-42.25,145.75,2010, 10.17
-42.25,145.75,2020, 10.04
-42.25,146.00,1910,9.17
-42.25,146.00,1920,9.09
-42.25,146.00,1930,9.13
