latitude,longitude,Year,TXm
-36,143,2002,23.55
-36,143,2003,22.71
-36,143,2004,22.77
-36,143,2005,23.15
-36,143,2006,23.67
-36,143,2007,23.8
-36,143,2008,22.91
-36,143,2009,23.88
-36,143,2010,22.49
-36,143,2011,22.91
-36,143,2012,23.13
-36,143,2013,23.79
-36,143,2014,24.4
-36,143,2015,23.61
-36,143,2016,23.06
-36,143,2017,23.9
-36,143,2018,24.26
-36,143,2019,23.9
-36,143,2020,22.82
-36,143,2021,22.83
-36,143,2022,22.18
-36,144,2000,22.84
-36,144,2001,23.04
-36,144,2002,23.73
-36,144,2003,22.69
-36,144,2004,22.86
-36,144,2005,23.08
-36,144,2006,23.71
-36,144,2007,23.93
-36,144,2008,23.12
-36,144,2009,24.1
-36,144,2010,22.52
-36,144,2011,22.86
-36,144,2012,23.11
-36,144,2013,24
-36,144,2014,24.43
-36,144,2015,23.82
-36,144,2016,23.27
-36,144,2017,23.91
-36,144,2018,24.41
-36,144,2019,24.23
-36,144,2020,22.9
-36,144,2021,22.71
-36,144,2022,22.24
-36,145,2000,22.11
-36,145,2001,22.48
-36,145,2002,23.27
-36,145,2003,22.1
-36,145,2004,22.41
-36,145,2005,22.47
-36,145,2006,23.28
-36,145,2007,23.63
-36,145,2008,22.61
-36,145,2009,23.74
-36,145,2010,22.05
-36,145,2011,22.3
-36,145,2012,22.46
-36,145,2013,23.41
-36,145,2014,23.8
-36,145,2015,23.32
-36,145,2016,22.74
-36,145,2017,23.3
-36,145,2018,23.93
-36,145,2019,23.76
-36,145,2020,22.52
-36,145,2021,22.17
-36,145,2022,21.85
-36,146,2000,22.37
-36,146,2001,23.05
-36,146,2002,23.77
-36,146,2003,22.6
-36,146,2004,22.9
-36,146,2005,22.85
-36,146,2006,24.18
-36,146,2007,24.17
-36,146,2008,23.16
-36,146,2009,24.08
-36,146,2010,22.55
-36,146,2011,22.66
-36,146,2012,22.71
-36,146,2013,23.78
-36,146,2014,24.06
-36,146,2015,23.5
-36,146,2016,23.16
-36,146,2017,23.6
-36,146,2018,24.38
-36,146,2019,24.13
-36,146,2020,22.96
-36,146,2021,22.44
-36,146,2022,22.29
-36,147,2000,21.38
-36,147,2001,22.05
-36,147,2002,22.95
-36,147,2003,22.05
-36,147,2004,21.96
-36,147,2005,21.95
-36,147,2006,23.53
-36,147,2007,23.33
-36,147,2008,22.17
-36,147,2009,23.04
-36,147,2010,21.66
-36,147,2011,21.58
-36,147,2012,21.63
-36,147,2013,22.84
-36,147,2014,23.05
-36,147,2015,22.46
-36,147,2016,22.32
-36,147,2017,22.56
-36,147,2018,23.34
-36,147,2019,23.23
-36,147,2020,22.14
-36,147,2021,21.35
-36,147,2022,21.14
-36,148,2000,19.71
-36,148,2001,20.13
-36,148,2002,20.78
-36,148,2003,20.45
-36,148,2004,20.28
-36,148,2005,20.41
-36,148,2006,21.7
-36,148,2007,21.2
-36,148,2008,20.13
-36,148,2009,21.09
-36,148,2010,20
-36,148,2011,19.9
-36,148,2012,19.79
-36,148,2013,21.01
-36,148,2014,21.32
-36,148,2015,20.77
-36,148,2016,20.53
-36,148,2017,20.78
-36,148,2018,21.2
